,scenario,replicate,split,model,model_type,model_id,rmse,mae,acc,f1,mcc,precision,recall,dropout,hidden_dim_base,n_latent_dims,source_epochs,target_epochs,freeze,z_dim_base,lr,weight_decay,gamma
0,,,test_0,mult_vae,mult_vae,target,9.839261088240756,8.023887991206092,,,,,,0.25,6.0,2.0,1000.0,1000.0,none,12.0,0.001,0.01,1.0
1,,,test_0,mult_vae,mult_vae,target_nosource,6.191804958719541,5.172819899593674,,,,,,0.5,6.0,2.0,1000.0,1000.0,none,12.0,0.01,0.0001,3.0
