"","response","Cer(d18:0/16:0)_NEG","Cer(d18:0/18:0)_NEG","Cer(d18:0/20:0)_NEG","Cer(d18:1/16:0)_NEG","Cer(d18:1/18:0)_NEG","Cer(d18:1/20:0)_NEG","Cer(d18:1/22:0)_NEG","Cer(d18:1/23:0)_NEG","Cer(d18:1/24:0)_NEG","Cer(d18:1/24:1)_NEG","Cer(d18:1/25:0)_NEG","Cer(d18:2/16:0)_NEG","Cer(d18:2/20:0)_NEG","CL(68:2)_NEG","CL(68:5)_NEG","CL(68:6)_NEG","CL(70:4)_NEG","CL(70:5)_NEG","CL(70:6)_NEG","CL(70:8)_NEG","CL(72:7)_NEG","CL(72:9)_NEG","CL(74:10)_NEG","CL(74:6)_NEG","CL(74:7)_NEG","CL(74:8)_NEG","CL(74:9)_NEG","CL(78:12)_NEG","GM1(d34:1)_NEG","GM2(d34:1)_NEG","GM3(d34:1)_NEG","GM3(d36:0)_NEG","GM3(d36:1)_NEG","GM3(d38:1)_NEG","GM3(d38:2)_NEG","GM3(d40:1)_NEG","GM3(d42:1)_NEG","GM3(d42:2)_NEG","PE(14:0/20:4)_NEG","PE(16:0/0:0)_NEG","PE(16:0/16:0)_NEG","PE(16:0/16:1);PE(14:0/18:1)_NEG","PE(16:0/18:0)_NEG","PE(16:0/18:1)_NEG","PE(16:0/18:2)_NEG","PE(16:0/18:3)_NEG","PE(16:0/20:4)_NEG","PE(16:0/22:4)_NEG","PE(16:0/22:6)_NEG","PE(16:1/18:2)_NEG","PE(16:1/20:4)_NEG","PE(17:0/20:4)_NEG","PE(18:0/18:2)_NEG","PE(18:0/20:3)_NEG","PE(18:0/20:4)_NEG","PE(18:0/22:4)_NEG","PE(18:0/22:6)_NEG","PE(18:1/0:0)_NEG","PE(18:1/18:1)_NEG","PE(18:1/20:4)_NEG","PE(18:2/0:0)_A_NEG","PE(18:2/0:0)_B_NEG","PE(20:4/0:0)_NEG","PE(20:4/22:0)_NEG","PE(22:4/0:0)_NEG","PE(22:6/0:0)_NEG","PE(24:0/18:1)_NEG","PE(P-14:0/20:4)_NEG","PE(P-16:0/16:0)_NEG","PE(P-16:0/16:1)_NEG","PE(P-16:0/18:1)_NEG","PE(P-16:0/20:4)_NEG","PE(P-16:0/22:4)_NEG","PE(P-16:0/22:5)_NEG","PE(P-18:0/22:4)_NEG","PE(P-18:1/22:6)_NEG","PE(P-20:0/22:4)_NEG","PE(P-20:0/22:6)_NEG","PG(14:0/16:0)_NEG","PG(15:0/16:0)_NEG","PG(16:0/16:0)_NEG","PG(16:0/16:1)_NEG","PG(16:0/17:0)_NEG","PG(16:0/18:0)_NEG","PG(16:0/18:1)_NEG","PG(16:0/18:2)_A_NEG","PG(16:0/18:2)_B_NEG","PG(16:0/20:4)_NEG","PG(16:0/20:5)_NEG","PG(16:0/22:6)_NEG","PG(16:1/22:6)_NEG","PG(16:2/16:0)_NEG","PG(17:0/18:2)_NEG","PG(17:0/20:4)_NEG","PG(17:0/22:6)_NEG","PG(18:0/20:3)_NEG","PG(18:0/20:4)_NEG","PG(18:0/22:4)_NEG","PG(18:0/22:6)_B_NEG","PG(18:1/18:1)_A_NEG","PG(18:1/18:2)_A_NEG","PG(18:1/18:2)_B_NEG","PG(18:1/18:2)_C_NEG","PG(18:1/20:3)_NEG","PG(18:1/20:4)_A_NEG","PG(18:1/20:4)_B_NEG","PG(18:1/22:6)_A_NEG","PG(18:1/22:6)_B_NEG","PG(18:2/18:3)_A_NEG","PG(18:2/20:4)_NEG","PG(18:2/22:6)_NEG","PG(20:4/0:0)_NEG","PG(20:4/22:6)_NEG","PG(22:4/22:6)_NEG","PG(22:6/0:0)_NEG","PG(22:6/22:6)_NEG","PG(40:6)_NEG","PI(16:0/18:1)_NEG","PI(16:0/18:2)_NEG","PI(16:0/20:3)_NEG","PI(16:0/20:4)_NEG","PI(16:0/22:4)_NEG","PI(16:0/22:5);PI(18:0/20:5)_NEG","PI(16:0/22:6)_NEG","PI(17:0/18:2)_NEG","PI(17:0/20:4)_NEG","PI(18:0/18:1)_NEG","PI(18:0/18:2)_NEG","PI(18:0/20:2)_NEG","PI(18:0/20:3)_NEG","PI(18:0/20:4)_NEG","PI(18:0/22:4)_NEG","PI(18:0/22:5)_NEG","PI(18:0/22:6)_NEG","PI(18:1/18:2)_NEG","PI(18:1/20:4)_NEG","PI(18:1/22:6)_NEG","PI(18:2/0:0)_NEG","PI(18:2/18:2)_NEG","PI(20:0/20:4)_NEG","PI(20:4/0:0)_B_NEG","PI(20:4/20:4)_NEG","PI(20:4/22:6)_NEG","PI(22:6/0:0)_NEG","PS(16:0/16:0)_NEG","PS(16:0/16:1)_NEG","PS(16:0/18:2)_NEG","PS(16:0/20:4)_NEG","PS(16:0/22:6)_NEG","PS(16:1/18:0)_NEG","PS(18:0/18:1)_NEG","PS(18:0/18:2)_NEG","PS(18:0/20:2)_NEG","PS(18:0/20:3)_NEG","PS(18:0/20:4)_NEG","PS(18:0/22:4)_NEG","PS(18:0/22:6)_NEG","PS(18:1/18:2)_NEG","PS(18:1/20:4)_NEG","PS(18:1/22:6)_NEG","PS(18:2/20:4)_NEG","PS(20:4/20:4)_NEG","PS(20:4/22:6)_NEG"
"Mock_2d_1",0,18.454521705082,15.8957013736472,15.4446139309325,21.509400630917,18.8746457801861,19.1551148397279,20.4828100488803,18.9844345398534,22.1269602668208,21.5217516230373,17.2957921914319,17.5167696961142,17.2052273787152,17.4564155823485,17.0347741155428,17.2620419252819,18.239281233739,18.1329224891347,18.9571680370974,15.3596883091156,21.1339593331736,16.6420990810113,18.9091012858062,16.8046010643731,18.5205732436401,19.4635380928418,18.4309362632466,15.5682061813144,14.4079247210928,12.1581217973252,18.1306274322509,14.0428149341113,16.5448527976857,15.8579235873626,14.4960596612472,15.3411639802634,17.9011029532145,14.7858415544484,15.7283461299428,21.0641623557475,18.3791596670663,18.8803256380293,17.0255975114074,22.0221148017186,22.8387541178257,20.1058896509092,22.8352591835502,20.6481204446294,22.1260395744,17.4091453968584,17.765647178169,17.2211048762218,20.9857887903324,20.2876733529936,23.5088294004705,21.9376864021995,22.3711181740988,20.4458109122857,22.4309708352053,22.3194623719156,19.0492730858819,19.3283582776023,20.8986017564143,17.7241218192787,18.3720672966298,20.4085894119589,17.6472271808945,17.3520342631834,19.5443803452906,18.407662466914,22.9576297442238,23.7714055426743,23.4734050181023,20.8543517514624,22.8596051150204,21.5995399214221,19.2341560988984,19.8752790538865,21.1129141467985,16.0138772246087,23.4563674509671,21.9601971253879,18.5761157022498,18.5695191058527,23.3852092760889,20.4501516714541,23.7046730586127,22.9491520276773,18.7837451347186,22.1734563335897,15.8582513976778,17.96321633864,17.296590408159,16.3665884896926,14.7800163478058,15.8755557952571,19.7847532458792,14.5593842096107,16.8857049368138,18.0395506380921,19.9737488585828,18.4147809643484,20.3905612796035,15.5134130446858,17.9206623327758,16.8461240041934,18.4457859116452,16.2839809246513,15.8170999840835,17.5552939399506,14.9060309766508,17.7719946400994,16.5078542696982,13.0365232747852,18.3155161125017,17.3248156125352,15.7518860238158,19.706233989454,20.4308780886346,18.0996824934017,22.357992481416,18.302163361726,17.3554766535252,21.5256376536234,14.4244629797009,17.861410306606,17.1145220536199,19.0346441652965,16.0065656096533,22.8779998192691,23.288709100869,18.6274787793963,16.5334578283954,19.4167435469413,18.7788632936259,21.1225938992534,16.6821798974264,14.8939807194323,16.5742137721475,16.2917221155256,19.7020983704294,16.3395260106437,13.9923698841443,16.4638704407561,17.121218255062,16.9389787543335,18.160349249114,18.9753774478607,18.4201963004954,19.6974393396319,22.4284583207881,20.2872727414247,18.8768457106573,21.2201090443361,22.8127806360459,22.2816831686005,22.121601335576,16.7975286455519,16.8150948644848,18.0876098081145,17.8196142861476,19.3144448109781,18.8414396735728
"Mock_2d_2",0,19.5182143139485,16.672510804701,15.6354341685982,22.3841253928375,19.588648878639,18.8952329130466,19.9669810735553,17.9512903184635,21.2567713251602,22.1015581699981,15.8037392507672,19.6709565776427,17.3965789131262,18.0421010304207,16.5933696930377,15.2847783602483,19.322916725108,19.0600300879681,19.0484439683114,13.177860658618,21.7738117910117,15.8746141701725,18.7932161124605,18.5604346479937,19.9777180360068,19.9930209448822,19.0597832667309,16.2653444894728,16.2729566267691,15.5258496939086,21.0805150351079,15.589602461099,17.768979227299,16.4686960014803,15.6979684610966,16.080342130532,17.1297758841617,16.1444914574217,14.9436936397647,21.1862217156899,17.4835538018044,17.5549258104989,16.3318761411394,21.5129902019024,22.3091232574934,18.5214020325111,22.7832071872576,20.6331408023504,22.2538921969667,16.0189180272618,17.3159668471432,18.0171115190009,21.8314340530628,19.8503157186315,23.7596190161753,22.579651198696,22.7598283613771,21.7326785827995,22.7504234239485,22.8066246463383,18.9256545792872,20.9410945444188,22.5559401925088,17.210431605886,20.2887033284312,22.0484306639651,17.1183373887907,18.2773025844139,17.3708531324485,17.3001106503363,22.3975459061594,23.7254369915186,23.402835252178,20.8555627675045,22.8916111048644,22.5264951796407,19.4012590914517,20.2413156378495,18.7754258203707,15.2470750966845,22.4427691463032,19.8112427763073,18.1326655539671,18.7246603960377,22.8520951213164,17.6847739775047,22.4901656097148,22.1944786876379,17.126235294344,21.2838676352499,15.9816798069028,14.3217002342782,17.878264811853,17.5777093323816,15.9738482474924,16.8363955977066,20.7883733383846,16.8869048098626,18.2135492484712,19.6046348912439,20.8813769815177,19.0359191527564,21.0997333712601,15.9464648607696,19.7329476490687,18.4005713407355,20.3180738417133,17.1867769571576,15.03072740981,18.8972324474045,15.3367613727652,19.24043237194,19.7926788064572,15.6148730288723,19.9745318751544,20.1343341884377,17.6752104165759,19.2122976259456,20.2900731418778,18.2149823465287,22.5063027379094,18.9855245042008,17.5688940968715,21.330918792355,15.4346830701717,19.3665024491437,17.8314731954385,19.1916150071731,15.7901723757676,23.0423886383285,23.6368281506784,19.9912486590528,17.675776713212,20.7955681546369,19.9089150842583,22.0390662983174,18.3170316353726,14.6852326818605,17.2842169392069,17.0288886066359,20.2713114169533,17.4772460232424,15.43213227763,16.4304405557011,16.9142669600859,16.7021676113523,18.345758912852,19.8032104826402,19.9062978445714,20.662874999626,22.4122591978056,21.6830122588707,18.2472924499489,20.9978099453153,22.9251574355021,22.416606331625,22.7644119102839,18.2005648996478,18.5751036371548,19.3530669812634,18.5173337065227,20.3316819616879,19.7210199995268
"Mock_2d_3",0,17.8265850471572,15.3293895989811,14.5948406535803,21.3964892858711,18.5530732033486,18.3994068880316,20.0408426981747,19.2512627978793,21.8922338263645,21.4445676789284,17.418218849751,17.3697174103918,16.796410700047,17.6371017649681,16.9874632718132,17.0027745062514,18.3878474735435,18.1343475071715,18.7651111414936,14.9747641420262,20.914930332111,16.5489250080295,18.5304312233205,16.5948904151081,18.4296295759059,19.1064043127105,18.3067350912916,15.3367056745787,14.0977251428772,11.9087965548677,18.1271448387368,13.2145731833968,15.9112723815426,15.750661194793,14.013019155939,14.6449346818828,16.9644608257827,14.4616376880169,15.4552942306171,20.9091495495752,18.0018084674907,18.6386347700605,16.6638143207699,21.76576866427,22.8357520543708,20.0110364567197,22.6630279388969,20.5629521648763,21.6487726157742,17.4514585254956,17.7497312529946,17.1720746345906,20.8451469780473,20.00827541513,23.4554096285093,21.6887928400991,22.0974305153984,20.4682155883276,22.2946093914194,22.183000760501,19.3433447346322,19.6029235437953,21.0289846901095,17.3686728374531,18.7816485654283,20.4085287743665,17.3540271080569,17.143164733558,19.1275735780782,18.3535696704417,22.7461385772126,23.6539771034383,23.3672162302919,20.9545744894998,22.7208009807268,21.3198336151902,18.8627027117026,19.4152874973958,21.1496979752308,15.9302995217226,23.381749410479,21.8937360003075,18.7947182762157,18.354497717708,23.4141206694767,20.4659878121637,23.6479911603576,22.87036754186,18.5959820039204,22.0732426612287,15.6132955520032,17.9079446704748,17.4522765626079,16.213571199674,14.5778855128532,15.7730792273588,20.0898601883723,14.6522503417022,16.4889644444715,17.9110702719105,19.7697341507158,18.3645509526717,20.069911071342,15.5879498400278,17.5973800568546,16.7457039660143,18.1270053095859,15.9630285230847,15.8401215380165,17.4807425063531,14.7551914845049,17.8299536919445,16.5225963766367,12.3983025662063,18.4796569322629,17.2943292121301,15.8537964894146,19.7369333642574,20.4635143953197,17.743367765374,22.2697624767977,18.4751402974167,17.5037956582482,21.1933164494618,14.9809363871432,18.0580275721457,17.0065635552308,19.3627991803024,16.2396882567354,22.8764767591486,23.2941032621715,18.6039682254377,17.1468767386527,19.1777814462692,18.7646663166184,21.0023995690827,16.2123476523232,15.6478700967541,16.9679133825228,16.3341068508537,20.0136912053906,16.5087834698581,13.4645350316245,16.1205549358599,17.0341271025866,16.9421141748625,18.130698594449,18.974796869921,18.058612931016,19.6059005160794,22.3607870849206,20.6059489936006,18.7351810308104,20.852600370841,22.7811386582332,22.0502646744674,21.8924651815368,16.7212569281135,16.7354989031563,17.9132139344481,17.1907669232864,18.8855326336555,18.3422603994261
"Mock_2d_4",0,18.0787679575637,15.8429622830074,15.1111152884361,21.431625504863,18.5289979587464,17.9037304528472,19.7786449632503,17.7772110611722,21.2945544255989,21.3284015608176,16.0424689645564,17.9999540799014,16.245305637548,17.2364117724093,15.6627226959738,14.7186322677986,18.117003351287,17.9248673105338,18.0664707669274,13.2483664188123,20.2790234747192,15.0307444139073,17.7662221489781,17.1585543734409,18.6809940676315,18.8384071307932,18.0738686131202,15.1189725885094,13.7274923684236,11.8906186808506,19.0872786259541,14.200995260434,16.767371403607,16.6013276115832,14.5094087258518,15.6839902697939,17.6210779677715,17.6882683469778,15.559443261642,20.4189391485556,17.3344788462803,17.4380260519921,16.2649582390143,21.6084728843461,22.4725214114968,19.3082459720459,22.6299957675257,21.13864241226,22.2188401970813,16.5043682786611,17.0829208605388,17.6083217220085,20.926493811112,19.9895823789528,23.4777092363239,22.0538637528764,22.3696483281593,20.3617416878087,22.5565126032448,22.2996233551173,18.1784245978011,20.2071971235344,21.286960263277,16.9657213238794,19.3123930309046,21.1863846530038,16.7136431578284,17.5273895448715,17.2132310668458,16.9581931048457,22.2591960115554,23.4103443356585,23.1706955836341,19.9424172297911,22.370608926547,21.6925157911253,18.6220589711233,20.0139361597605,18.5996029138925,14.7921032611156,22.1897610793938,19.6238327184841,17.550258290307,18.6776404006109,22.928030533399,18.0438496759157,22.7672935015488,22.168501046963,17.5472764131396,21.0227323490224,14.8833855434795,14.5426283155878,17.8382764119863,16.5430658143236,15.2297545595383,15.9187195037871,20.8213578737018,15.8025400303562,17.1044327109275,17.5102875414181,19.4301736835105,17.9685869965309,20.6783782381826,14.7272611366142,17.5835631447092,16.8295007417009,17.9108960325116,16.2037279567053,15.5051389322078,17.9526322182142,14.7568165960794,18.3311486194759,17.0197927828874,13.0981003722655,17.2251606500073,17.1588327747446,16.2777170394458,18.318298689508,19.7368493636088,17.3820441314082,22.0233970133566,18.2851579298989,17.0477067225835,20.4281058256357,15.161902563123,18.0046554461753,16.8109708672891,19.346198539869,15.1792275646404,22.1847332676051,23.2000462311254,18.9377580503546,17.8083488358847,19.8561680845482,18.7505099091943,20.6534807986491,16.5644893403801,14.2857565125339,17.0253981270709,15.9572645888839,18.7962548276126,15.8376819200528,13.9015708928662,15.2768187373965,15.7371393205798,16.1035120913761,17.8918715702805,18.6573042734556,18.5136820619448,19.6975124102365,21.8274781001907,20.3277738270619,17.3176076192068,20.0104406883665,22.4879527350654,21.747848267198,21.9678005699994,17.0186311344741,17.2558670835117,18.0096583047902,17.5070231049721,19.0206208937712,18.4265990182522
"Mock_4d_1",0,18.1935491224038,15.5353618863996,14.5505018539602,21.6205684234713,18.9670357094057,18.5904896263727,20.163843123286,18.8997739027576,22.184274718311,21.5199399750352,16.8368438852643,17.5477030924642,16.9533535934232,17.0903725223422,17.0557522621451,17.2995719336365,17.9300232467846,17.9965347768963,18.8974197934832,15.3206213982631,20.7770698607009,16.5807081479363,18.4540288894886,16.26560145546,18.0947028784776,18.8937391474886,18.1502062352768,14.9249940379196,13.4222080090772,11.8763026007404,18.4453007124232,13.7594221369303,16.5666849231602,15.4896396258504,14.0834364759103,14.8792046190139,17.6755021533279,14.7724262369816,15.6378185122143,21.1317054852985,18.2767775695556,18.9923269191862,16.953730128805,22.0223703530777,22.6615849071297,20.1109179841102,22.8091372316205,20.4549902635148,22.0824805908817,17.1090954258792,17.7648602548604,16.7132225626217,21.1437858289516,20.0682701908488,23.4021932819138,21.7843962184198,22.1873931549344,20.4967058128285,22.2615156304763,22.301232703313,19.0563949436793,19.1917109312808,20.8791510417708,17.4682527592463,18.4393273160921,20.5836387737616,17.8098288584824,17.344039170539,19.5280039280524,18.4621373999442,22.9145219076621,23.7350229466632,23.422330575719,20.8398628973326,22.6717960854796,21.688856001177,18.8312557243558,19.4523924534996,21.1263114004855,16.0160254387246,23.4406110606766,22.0248033587538,18.6512983120438,18.450263579265,23.4663950307387,20.3946225718632,23.6340702001491,22.8310685763289,18.7616594712528,22.1245258667877,16.0759036122672,17.768153121422,17.0764727936296,15.7846827659139,14.4486983476566,15.7639728450173,19.9689028178444,14.8066552252631,16.8266876425765,18.3748056154555,20.1115376742045,18.4374170811644,20.1280547543219,15.7852635738248,18.1890315433552,17.0495903420961,18.5571529334819,16.0744449677603,15.4846028933158,17.5828020429805,14.7115885251911,17.9513965139506,16.8008663359202,12.6755583616047,18.6728992078595,17.2515300852856,15.9004730852532,19.7963514823891,20.268022927846,17.9509693720304,22.419407188582,18.371517307017,17.4296533258515,21.464264170826,14.2504626624372,17.7525346964983,17.2076417440533,18.7594718164259,15.8127213032461,22.9463764190269,23.246935538627,18.48916258434,16.4753894555799,19.2233271144525,18.9153502218662,21.2733925378314,16.7006874577217,15.0724604117063,16.4746468026143,15.9601955342447,19.8434763954553,16.3597132388046,13.5850494066698,16.7096101535707,17.0168863112501,16.8794853761149,17.9756366027543,18.8259407013928,18.2548880494906,19.4751896623577,22.3221689880721,20.2251190113006,18.6697728344936,20.9477767493278,22.7074519240229,22.0305986098916,21.9464201497287,16.6644469590207,17.0203933505535,18.0970875916197,17.5125190122006,19.3800962475058,18.8576910862778
"Mock_4d_2",0,16.1758292593611,14.1613667287842,13.6240398466091,20.7320658558682,17.6050473163413,17.6178645834921,19.3442808707328,17.7793507588272,21.2060667088048,20.5978328569373,15.9060836566914,16.3700849946922,15.5850737118822,16.1762363160455,15.962515324079,16.4427843299749,16.9268369843399,17.1958132792117,17.9820098412232,14.127968982284,19.8639562571332,16.1483099272738,17.9996955585882,15.3109244769681,17.2528084788357,18.1630863818076,17.6840634895254,14.2870196069135,13.5142252443728,13.3077965013042,17.2569531129696,12.928808941436,15.7431714298519,16.3593833546699,13.0577756163429,14.58948816963,17.129542284519,16.9433215409665,14.9991577271217,20.2988972761534,17.7682164362628,18.7292826926109,16.5082678588351,21.8583771887487,22.4372261852254,18.9339986349153,22.4776965153908,20.0895130356668,21.5375517389372,17.0319715467875,17.1589563202589,16.563698442352,20.447270299666,19.2615243821095,23.1664311315466,21.1757217674863,21.8256108999762,19.4904121866439,22.0204672806018,21.8685182380999,18.2244524812978,18.3753686721734,20.3900167217363,16.9975262316774,17.9378728775079,19.8259711646807,17.1979181133439,16.980590854915,18.9913140625559,17.7462738152894,22.2308919254245,23.5224636008191,23.1001733818439,20.2269702572604,22.1931255604445,20.90404048329,18.2805790747127,19.1688033915525,20.3875352673458,15.5028023104593,22.8808797505367,21.2779075551658,17.9274280497301,17.8222823741989,23.1428036933821,19.5138333545834,23.2826324579609,22.3203312124391,17.8707007198539,21.3142806375949,14.7418688362047,16.695239656828,16.0249773018824,14.7433412600975,13.8952203373087,15.2598002901029,19.7303095662987,13.6577637271108,16.2810049041275,17.0426017184763,18.5524458353088,17.2891108621088,19.2491471693983,14.4721764213816,16.5157005600471,15.8542905841619,17.2325176894049,15.1828410768088,14.2255356384839,16.1641842028192,13.9738556028752,17.1645663248697,15.6380102698874,11.1258252290254,17.4672658511593,16.5425007950346,14.4590151729053,18.4954677519242,19.3538551317579,17.3115423995958,21.6183540216506,17.5715700419678,16.5977660369483,20.4139217604591,13.2736035437686,16.859174179784,16.579972805809,18.5963965684561,14.6543557762775,22.2628471332366,22.8087418112501,18.0691084878763,16.7544001611625,18.4485877046048,17.7714148121434,20.1346451879576,15.4457403285543,14.3006856090432,15.02909307133,15.167350456658,19.041541350134,15.2360124395584,12.4976156642708,15.3766050078498,15.881339356697,15.3998918650134,17.2470404620398,17.9369742164447,16.9498496814764,18.1268325330097,21.791517053249,19.9489781405657,17.6634689605862,19.9071510684819,22.1538116124659,21.3475235112127,21.1695857353301,16.0388178730287,16.4240165745335,16.5804733116786,15.7524015754434,17.0676094755898,16.6056716666251
"Mock_4d_3",0,18.4983765402786,15.7027276535455,14.9504234745838,21.4795791044927,18.9084429240168,18.9122260300858,20.3955217148652,19.0952265367248,22.0275334854572,21.7575098529482,17.2352762678017,17.7900357205076,17.3858572673744,17.4840445056653,17.017538212519,17.2904589147315,18.2454601511208,18.3141157538616,18.8726364642467,15.3831894472777,21.0115418986994,16.5298064373739,18.5994285712466,16.5949869726272,18.3521079666642,19.0484610974766,18.3121536857011,15.1725193760508,14.0312344161847,12.0020015209061,18.9732656521183,14.0134722784268,16.8882486436134,15.8031857442386,14.9687258469155,15.0322500810672,17.6234365700876,14.5974557607378,15.4431216193422,21.2654645366299,18.5171887890354,18.7842580162888,16.9755451210577,21.8734934901263,22.6583517320433,19.7023093598837,22.8215035641747,20.6229906195295,21.9628131535043,17.1678721325204,17.810684689944,16.9679875895365,21.146424331151,20.0864043348307,23.4316048477066,21.961851053316,22.1370009654611,20.7265306327896,22.2768728216364,22.3500316452742,19.1140126638111,19.4986796585205,21.1221191151887,17.3829450787226,18.9533913401987,20.6663829809445,17.7089661905262,16.9305826914971,19.5497363807446,18.2842248480626,22.9353708266623,23.7288792928417,23.4376598876696,20.7338413132845,22.7674121211671,21.5534500088855,19.087481617587,19.8081621301702,21.2477054758076,16.1716337259978,23.5130321422603,22.1782010245686,18.7801145973491,18.5206457741841,23.6531117389343,20.4821365879459,23.642297653214,22.9486426894636,18.8133535713356,22.2246797453772,15.9253428204371,17.973301742732,17.1753893446236,16.2646931418123,14.7499025627399,15.8259659258171,20.1334475110182,14.7999631711705,17.2990172196838,18.7882349192115,20.3069074939313,18.7400693604643,20.4519529741118,16.1180928970119,18.4106234401466,17.347788683862,18.9355849367508,16.3193880842299,15.6671897389652,17.7413277991105,15.00656852008,17.8742679154547,17.3941245652076,12.9080003052549,18.8072803287967,17.8538435941311,15.9188988955178,20.0587937430336,20.2753484594645,17.843683982454,22.4099762544232,18.8419288066888,17.5690011048219,21.5978391069481,14.7312257931822,18.1267978807039,17.3923166365721,18.9300394944065,16.0984123730945,23.1339171715344,23.3019839741457,18.5858813979632,15.9634439076296,19.545083956471,18.8820856012913,21.3427633415541,16.5972854782539,15.4439828296514,16.5215835474187,16.2001113555917,20.132079200257,16.7440044647782,13.9183994179028,16.9204444516386,17.4958096570552,16.9777566352368,18.1889475106553,19.0140395459589,18.3624077950719,19.9648898958238,22.5609264717988,20.6761674671711,18.9915782417676,21.0927124675771,22.7798652047113,22.1607090026425,21.9203338630099,16.7160689926244,17.2144181423491,18.0331337686214,17.6792864726389,19.6815206753555,19.1072510837852
"Mock_7d_1",0,16.8512977360075,12.7332078712017,14.0858720363121,20.2530243928332,16.5862639368626,15.0342221660165,15.9121593171363,13.3518616448667,16.9610156242437,19.2633378373097,11.8903586385866,17.8472453950899,14.7184049422504,15.1520155449352,13.7967038807674,13.6934561166093,16.0437899481062,16.0083126924236,15.7735692541276,14.6143745976124,18.2776025476817,13.7640802946926,16.3148704406231,14.8705261449336,16.3801162018845,16.5689572823739,15.8394947443887,12.9183113317826,12.4838414802748,12.0418265636075,18.733909771264,11.6199414236386,15.0863452091565,14.266673608446,14.1702383580172,14.412841932778,14.4567370437559,17.1865262635323,14.2753693481294,21.3515011145586,15.6302161243792,16.3251414147974,15.0236454010673,20.7300382448589,20.9634742474496,16.7851547961881,21.5334206365467,19.4934361189336,20.7727992235931,15.8485770975575,15.9719186164847,16.2960517758764,20.2916548158184,18.8319790513286,22.810387668224,21.0579634721542,21.2304220167222,21.5180765705684,21.3937410640632,21.3932770615653,19.9028218537221,21.8388871009874,23.1514156359056,14.2279341992826,20.1921814242104,22.508027822268,14.1380767687358,16.7299953181067,16.2653211656838,15.4432438135089,21.2164729355142,22.6807388457807,22.2334826143607,18.7466613113662,20.7871376517488,20.5186521952901,16.3019616537573,17.6381603425513,18.3348942437502,14.4512347607271,21.5014108136813,19.8853241854207,17.0770425657207,16.8453070378323,22.8269530186201,17.868098908707,22.7373971372782,22.0681053274916,17.4958497825978,21.1914029576281,15.9884407812148,14.6396682696237,17.3440189818631,16.4556179485046,14.8612050654429,15.0595151142571,20.6257271227452,15.1486055170376,16.535566095356,18.6251837606835,20.2039072947485,18.6563005769101,20.816693656536,15.4814751307103,19.0949647313604,17.7691801550126,19.2266825069633,16.4554682019512,15.5966080141991,18.743410604268,15.4527280069392,21.0274730783064,18.8060911315439,14.6997428349079,20.1198026786042,19.1010244583178,17.2304492832314,18.0699202467621,19.0513933386214,17.0462132780165,21.7156597861106,17.4105146255791,16.1119852394987,19.9045385249335,14.3118735681451,17.8100565478392,16.3607297618691,18.3101879745177,13.4331519130854,21.0558978624527,22.7511854606262,17.8131270869531,16.4355046951007,18.6043672664036,18.4799318243299,20.7598056101434,16.8147969895754,16.9226232353597,16.4284456692615,14.5333811859979,22.2953858402989,16.8089121458739,14.9575720057038,18.9589588622647,14.3955049795758,15.8049411174688,17.6550306930749,18.6111108230156,18.6884252346942,17.9495134533928,21.313466133326,20.2589196486532,16.2066040829433,18.8033925087502,21.7166278515538,21.0382987872673,21.6083939209217,17.0856018007989,17.5087745253056,18.1056580651128,17.7108178871238,19.3388427247575,18.8521272285965
