"","response","CE(20:4)_NEG","CE(22:6)_NEG","Cer(d18:0/0:0)_NEG","Cholesterol_NEG","DG(14:0/16:0/0:0)_NEG","DG(14:0/18:2/0:0)_NEG","DG(16:0/0:0/16:0)_NEG","DG(16:0/16:1/0:0);DG(14:0/18:1/0:0)_NEG","DG(16:0/18:1/0:0)_NEG","DG(16:0/18:2/0:0)_NEG","DG(16:0/20:4/0:0)_NEG","DG(16:0/22:5/0:0)_NEG","DG(16:0/22:6/0:0)_NEG","DG(17:0/20:4/0:0)_NEG","DG(18:0/18:1/0:0)_NEG","DG(18:0/20:4/0:0)_NEG","DG(18:0/22:4/0:0)_NEG","DG(18:1/20:4/0:0)_NEG","DG(18:1/24:1)_NEG","DG(18:2/0:0/18:2)_NEG","DG(18:2/20:4/0:0)_NEG","HexCer(d18:1/16:0)_NEG","LacCer(d18:1/24:1)_NEG","PC(0:0/14:0)_A_NEG","PC(0:0/14:0)_B_NEG","PC(0:0/16:0)_A_NEG","PC(0:0/16:0)_B_NEG","PC(0:0/18:0)_A_NEG","PC(0:0/18:0)_B_NEG","PC(0:0/18:1)_A_NEG","PC(0:0/18:1)_B_NEG","PC(0:0/20:4)_NEG","PC(14:0/14:0)_NEG","PC(14:0/16:0)_NEG","PC(14:0/16:1)_NEG","PC(14:0/18:2);PC(16:1/16:1)_NEG","PC(14:0/20:4)_NEG","PC(15:0/0:0)_NEG","PC(15:0/16:0)_NEG","PC(15:0/16:1)_NEG","PC(16:0/16:0)_NEG","PC(16:0/16:1)_NEG","PC(16:0/18:0)_NEG","PC(16:0/18:1)_NEG","PC(16:0/18:2)_NEG","PC(16:0/20:3)_NEG","PC(16:0/20:4)_NEG","PC(16:0/22:4)_NEG","PC(16:0/22:5)_NEG","PC(16:0/22:6)_NEG","PC(16:1/0:0)_NEG","PC(16:1/20:4)_NEG","PC(16:1/22:6)_NEG","PC(16:3/16:0)_NEG","PC(17:0/0:0)_NEG","PC(17:0/22:6)_NEG","PC(18:0/18:1)_NEG","PC(18:0/18:2)_NEG","PC(18:0/20:3)_NEG","PC(18:0/20:4)_NEG","PC(18:0/22:4)_NEG","PC(18:0/22:6)_NEG","PC(18:0/5:0(CHO))_NEG","PC(18:0/9:0(CHO))_NEG","PC(18:1/18:2)_NEG","PC(18:1/20:4)_NEG","PC(18:2/0:0)_A_NEG","PC(18:2/0:0)_B_NEG","PC(18:2/22:6)_NEG","PC(19:0/0:0)_NEG","PC(20:0/0:0)_NEG","PC(20:1/0:0)_A_NEG","PC(20:1/0:0)_B_NEG","PC(20:1/22:6)_NEG","PC(20:2/0:0)_A_NEG","PC(20:2/0:0)_B_NEG","PC(20:3/0:0)_NEG","PC(20:4/22:6)_NEG","PC(21:0/0:0)_NEG","PC(22:0/0:0)_NEG","PC(22:1/0:0)_NEG","PC(22:2/0:0)_A_NEG","PC(22:2/0:0)_B_NEG","PC(22:4/0:0)_A_NEG","PC(22:4/0:0)_B_NEG","PC(22:6/0:0)_NEG","PC(22:6/22:6)_NEG","PC(24:0/0:0)_NEG","PC(O-16:0/18:2)_NEG","PC(O-18:0/0:0)_NEG","PC(O-18:1/0:0)_NEG","SM(d18:1/14:0)_NEG","SM(d18:1/16:0)_NEG","SM(d18:1/17:0)_NEG","SM(d18:1/18:0)_NEG","SM(d18:1/20:0)_NEG","SM(d18:1/22:0)_NEG","SM(d18:1/24:0)_NEG","SM(d18:1/24:1)_NEG","SM(d18:2/14:0)_NEG","SM(d18:2/16:0)_NEG","SM(d18:2/20:0)_NEG","SM(d18:2/24:0)_NEG","TG(14:0/14:0/16:0)_NEG","TG(14:0/16:0/16:0)_NEG","TG(14:0/16:0/16:1)_NEG","TG(14:0/16:0/22:6)_NEG","TG(16:0/16:0/16:1);TG(14:0/16:0/18:1)_NEG","TG(16:0/16:0/18:1)_NEG","TG(16:0/18:1/18:2)_NEG","TG(16:0/18:2/22:6)_NEG","TG(16:0/20:4/22:6)_NEG","TG(16:0/22:6/22:6)_NEG","TG(16:1/16:1/18:2)_NEG","TG(17:0/18:1/20:4)_NEG","TG(17:1/18:1/18:1)_NEG","TG(17:1/18:1/18:2)_NEG","TG(18:0/22:0/22:0)_NEG","TG(18:0/22:4/22:4)_NEG","TG(18:1/18:1/18:2)_NEG","TG(18:1/18:1/18:3);TG(18:1/18:2/18:2)_NEG","TG(18:1/18:1/20:1)_NEG","TG(18:1/18:1/24:0)_NEG","TG(18:1/18:2/18:3)_NEG","TG(18:1/18:2/20:1)_NEG","TG(18:1/18:2/22:6)_NEG","TG(18:1/20:4/22:6)_NEG","TG(18:1/22:6/22:6)_NEG","TG(18:2/20:5/22:6)_NEG","TG(20:4/20:5/22:6)_NEG","TG(20:4/22:6/22:6)_NEG","TG(42:0)_NEG","TG(46:2)_NEG","TG(48:2)_NEG","TG(50:5)_NEG","TG(51:1)_NEG","TG(51:2)_NEG","TG(52:4)_NEG","TG(52:6)_NEG","TG(53:2)_NEG","TG(56:2)_NEG","TG(56:5)_NEG","TG(56:6)_NEG"
"5x10e6_7d_4",1,24.2511425746412,23.3493926012479,19.7513275825315,18.7251617349994,19.8868016652002,16.9844572268709,22.2108206953675,18.2538417155988,22.2209644062388,23.0523690424637,21.8982371281143,17.6203497205378,20.7579570929067,17.862548448471,21.3070445671341,24.6845263791511,21.6358499479278,20.7187143052347,16.2520975817335,19.9602385828874,20.2086322262593,19.2885045172079,19.5094680470474,17.5424695035469,20.4699908905689,22.7848038575546,25.9162579843878,22.540324715115,25.8107044957545,20.8424419446854,23.3200073528883,23.1494861861164,21.0689937263742,27.2913234700237,21.8529902369728,23.4573310262387,21.4851869897136,18.0504450410766,22.0776953907129,20.2270224223892,27.8573977018506,26.8401589083379,25.1640517409126,27.3653846563372,27.4052305545011,24.4194332935163,27.1786455532072,24.6635713504256,22.7944257824328,26.176755550005,21.9166647333601,22.0321345362353,20.9483437916211,21.489252761441,20.3950144709293,19.8981612753252,25.0095180423249,26.882151573329,23.4038494096855,26.8460711933674,23.6086915904676,25.0387853937846,16.5938799311042,14.3475436509071,24.916108158153,24.2493271713253,22.6312776548904,24.4061519247917,23.4386531654468,19.6174238574542,18.8877925349128,16.8648777595037,18.4651579555821,18.6866382670229,17.4359139972557,19.727657095884,19.9825979685193,21.5622714262102,17.444443069156,18.3483722434101,16.1711977230006,14.3048541474769,16.8225540075111,19.0180087714836,20.2266153373707,22.8759095194265,19.3682356099826,19.1076580022826,21.1325846052047,18.4857489884093,20.1448796082364,20.1665693511394,26.1585765612371,19.6225715639017,23.253019053104,24.3931119276082,24.7577223524451,24.9499118252272,26.3943953105918,15.6219634263961,24.0665042711903,20.6920489646236,24.4735198435056,18.0797074272754,20.4420044417786,19.5706983740133,19.6503617611499,21.9721093988184,23.9536498568621,25.0844825632969,23.4533344442964,22.5170312378392,19.5096363319909,20.9931097698979,18.2349521747303,19.4078365737466,18.6092914803656,16.8338168054886,19.1345046589456,24.1630347713403,23.7922503469055,20.3257841539151,17.2320201951242,22.6045727967502,21.5229503458572,22.7180692710898,20.8153460600393,18.0942979274973,18.3504594508724,16.2429260710349,16.5709654868128,16.3846350300462,18.9904430704061,22.1017033874872,18.8647879495391,18.924713121105,19.4424203839891,24.6771063509458,19.4500952736772,18.8194271810826,19.6129274244164,22.7642591234396,23.1449688914852
"5x10e6_7d_1",1,24.5675531002712,24.0099597973013,20.2180258631875,20.0096118368847,18.5932313038759,16.3606286373819,22.1838750713643,18.8829386193649,22.7869054189962,22.8356230221419,22.0077578794353,18.1162209961489,20.3585866838199,18.7009124077736,21.847651906328,25.3645868854451,22.1020091619518,21.6575053433216,17.6385806397343,18.525353888993,19.6015183869914,21.3934097050513,20.7704622643636,17.8731037740806,20.5399442288179,23.6940638796502,26.4879955322514,23.6935924496282,26.1577757355219,22.0639015973166,24.52638783765,24.4931020821042,21.4830224482157,27.2708667516072,22.3623211034605,23.9462028218398,22.2819586003812,18.6140637747566,22.8862159538879,20.3102506702172,28.1457156056901,27.1336486560525,26.1220198726871,27.9304934511895,27.515343483816,25.1694100317058,27.5993380999953,25.5451750659993,23.7394926253504,26.7219862486095,22.3224321223785,23.0877999687862,22.827728118022,22.095461090724,21.9512474467138,21.0335670081582,26.2378481644581,27.2990629298035,24.1686118323962,27.6257408323537,25.363645391806,25.7989891619233,18.3249562121693,15.7958829038116,26.1655518552694,26.0531962395167,22.7998795015628,24.5103073436275,23.6777893099417,20.1125355926347,19.7660748124213,18.567293131442,20.1906614428327,20.2413642316142,18.5229988198312,20.8088455852275,20.611873344995,23.7145645773551,18.4918896631997,19.3221898975192,17.6426308228526,15.1552983157195,18.3211558925404,20.7839422186718,21.7895837907419,23.7387507698366,20.9963678876892,20.0792256408745,22.3934360227925,20.0644268499021,22.668231129641,21.3037062059227,26.4299098258867,20.7450774566125,23.6626995557095,25.0370840667072,25.556122677477,25.9899530414412,27.0340809122631,16.8203379204181,25.3451577777554,21.5745348612274,25.4387511233396,17.5147342771816,19.8724428657331,18.6872856497442,18.8835731115179,21.3483038876764,23.06112328199,24.3865970591756,22.8429319846315,22.3085863688159,20.7088785464147,19.6095362134107,18.0812669208483,19.1597127672763,18.1842553440429,17.1440790786341,20.0957434064578,24.1437451988963,23.2805466510343,20.374016356234,17.0407897004773,21.4031044979943,21.0879603316235,23.0726149657694,21.9567097265967,20.1165057831879,18.2074944461017,16.6833338023829,18.658359250851,16.2600463253275,17.5331952072855,20.7907230428511,17.5646481889118,18.4542464470293,18.7373520562094,23.204973604466,18.1011631557682,18.8224202882296,19.5642113715151,22.686256324547,23.5382303830925
"Mock_2d_1",0,20.7541314976934,18.7308180658312,18.6559423889636,19.6385625221919,21.1685591950744,19.4909258960363,23.8064157877332,21.8075924351153,24.7103224696996,24.8844425791079,23.047914194209,18.7640593320007,21.2500440622322,18.0129165488381,22.6315593175015,25.3946374858589,21.5693552294659,21.7439652376744,16.8709183445628,21.4810372765227,19.5871129734214,19.1577302557508,18.558799277244,18.7996588947892,20.2416595417502,23.7298933878751,26.0144949020784,22.2734806148644,25.9793373556064,22.1191748116171,23.0942765009102,22.3504295045625,22.8294419958001,27.4691548859082,23.4877830053568,24.277860886106,21.860065768121,17.6787448667306,23.0959397394478,20.8404299823066,28.396979162818,27.4714797435945,26.168069606591,27.5110631260088,27.595449857954,24.836935740534,27.4286579190793,24.3354705017075,23.3528407543768,26.0088787443172,21.2611241916761,22.1981755301511,20.7950523406316,22.8230536675512,20.3361263676736,19.4872626544627,25.4976487965501,26.9567678540645,23.7677283251342,26.9773244745083,23.4549774661362,24.3627618655106,20.0880172876956,17.3811135690907,24.8520021300286,24.5030134859559,22.630427226457,23.2199780753255,22.2259267054399,19.5932832868641,18.7471464573239,17.7169478497095,18.932320558434,18.8004205516919,18.0499869388745,19.1664482947882,19.4670386771894,21.7729162842582,17.6601107186992,18.4624726917656,16.5774434653959,14.8161129621119,17.4898096271738,19.4315331829326,18.9025583899847,21.2055956524107,19.6136855028667,19.7733800047893,21.1616536593828,18.2110609629293,19.5861329983067,19.9733954689925,26.1925259535409,19.4220804260358,22.3191636818694,24.9921305781148,25.0574333816327,25.6388055434514,26.6506880346667,15.1546705705662,23.7704575257537,21.1397015378841,24.7927816575275,21.2770719647582,20.010277278524,25.5494372225355,19.9417835701191,26.0289514830361,25.898122424603,26.5439873621066,21.824966410138,18.2275160609246,16.2361908754287,25.8324975748332,17.5129566969474,22.9563259024726,22.4023752068308,17.933738193128,14.7946345001584,26.5043103236121,26.3710600632633,22.0968164746272,17.0321886937716,25.7833082175783,22.2162538495867,20.5461218872579,16.9373866624417,17.0410250144943,14.3362488410744,16.824107764281,17.1261858435663,20.4217442150716,24.7817892184688,26.6023881753777,22.5753295380839,21.0928261641591,22.8623664515069,27.0463410245699,22.9468133987445,22.3719341381018,21.6426564904691,22.9581531819234,22.4371550531999
"Mock_7d_3",0,20.646272598785,18.958605813017,18.3416234676125,19.3417331256787,20.9762612519424,19.5209455683734,23.6809048148504,21.7359580776449,24.7164983880534,24.7245066713017,22.918366932222,18.7030001449853,21.2382717758025,17.8883734257404,22.693910793421,25.406543040361,21.6121485823863,21.7940035944736,16.9167705021067,21.3675844523395,19.0674973848506,19.0054078213919,18.562210742667,18.8703044156199,20.4120920864618,23.4077724042764,25.9659362597896,22.3461956987579,25.7763970870346,21.9801937174429,23.2538552736254,22.6982315711062,22.1553375407238,27.6145106955201,23.0306870032303,24.0671477633545,21.6228820698918,17.5736206089323,22.7441912409906,20.8783961672504,28.3119716570382,27.3751879504058,25.9604888936914,27.4426613376388,27.3425874402566,24.6919146149182,27.3062721438917,24.3836324493097,23.0052186505187,26.0866727187274,21.5878649394228,22.3559695006533,21.0404034439503,22.4720695482034,20.2745056977741,19.2143011835357,25.4133225442824,26.5960993090997,23.6676566659625,26.9227703907147,23.4329258002008,24.4837325160427,19.7104353566026,16.8571908446814,24.7117937211587,24.386665860795,22.526051790062,23.186629024476,22.442230402136,19.0743668923782,18.620389212574,17.6189706252309,18.9735963905687,18.8546677253569,17.8891827144628,19.1596291648815,19.4372926142892,21.7492662106836,17.1994349658512,18.1808417172877,16.7160079540847,14.3146073062493,17.148626617193,19.327328548675,19.1313907111257,21.9018901317579,19.5668857914342,19.3502218867,20.8640318509892,17.851059397417,19.4882462810819,20.0690306149954,26.1886335139356,19.3356660798956,22.5472819445394,25.0664725735496,25.1661235377695,25.661519453448,26.7127642784473,14.9662952660608,23.8638339756855,21.3104311132084,24.9572066585874,21.332565601801,20.2319485875045,25.5698681213723,19.7849400111186,25.9798441704298,25.6428849451832,26.589931341429,22.2021138073392,19.0037726618495,17.3678827472724,26.0893232623316,17.3018552086552,22.710437668905,22.400092978339,17.444509166755,16.0279535657915,26.4718394092385,26.5628109432503,22.2451080101573,17.1645867325578,26.10304011212,22.4196257867476,21.1810785344187,17.9002614402204,15.4033426151011,15.3230423872042,16.7178056810753,16.8784662816129,20.564507249508,24.9795562907532,26.6444064293143,22.9530824981513,20.9691484674211,22.6425247325373,26.9819749255959,23.4699952363783,22.202095269172,21.7557023933071,23.0214886874246,22.6384249761114
"Mock_7d_2",0,20.7656100525653,19.0535021938581,18.3351129407737,19.60073143172,21.1783252024227,19.0683753326633,24.1077636641876,21.7580088567852,24.6520073859065,24.9135100643262,23.1684855914128,19.2385865237845,21.2299460891698,18.1443120482312,22.5169379728839,25.3816098820824,21.7922281012664,21.7240996431776,17.3546151443823,21.1868738078264,19.3719540727954,19.0593099645929,18.9830877175088,18.9957748265728,19.9529913517979,23.7416969812006,25.964534064883,22.4166479485411,26.0479799067459,21.8244216694009,22.9213945102668,21.5708881484448,23.0328214462464,27.6903853192896,23.6133532250594,24.5438038074759,22.2348437378005,17.3056266343409,23.0744541143905,20.9399384739124,28.3609641291236,27.527709772558,26.3139799042786,27.640056234345,27.606846042227,25.1037673889308,27.4706783589937,24.5012241910757,23.3966836889509,26.0957820314522,20.7744344944973,22.5852915233383,21.0366733436111,23.3610605434548,20.4200177660307,19.2964456162275,25.8437903520284,26.9594715588944,24.1503951402227,27.0843545812302,23.5169124922341,24.3640637014162,20.3505866483148,17.5886151413048,24.883297064802,24.5423109102128,22.3117864186044,22.6482312818522,22.5620430052001,19.5995894076305,19.1873161257237,17.7523126510861,19.1156714124506,19.0137111371684,18.0514610503146,19.1391014829877,19.2052457275036,21.8086532489347,17.5787970672734,18.4658068860829,16.9146321215843,14.6428538845167,17.8378428101487,19.317584021224,18.8297580534645,20.6331436854734,19.7330777142683,19.9389855720107,21.147424657751,18.4922269152471,19.9966947517317,20.3111832937341,26.294891478952,19.3364974341931,22.283468084907,25.1050551923513,25.400519876504,25.9837719389821,26.8594813267419,15.2959441933877,24.0611367994942,21.4516386189762,25.1501571066401,21.2871260246609,20.3150599837831,25.4371937951844,20.1326550434347,25.9110268283604,25.6635780820587,26.5405108412696,22.1304631017111,18.8525930372247,16.8148097974089,25.5645549285702,17.3818011526795,22.6861950803788,22.0301338243853,17.5325411799339,15.0528814332842,26.4050171675945,26.2573252531389,22.2570019024731,17.7324717816167,25.5543395357952,22.6010445192279,21.0052620043681,17.4497865574971,17.1499784521871,14.0812041702881,16.9253893196149,17.1338832517543,20.2945315692969,24.5251876666083,26.3911693668237,22.2866111999928,20.9783140257119,22.5950797665115,26.946338399013,22.5880017848346,22.1665696575983,21.7811930996198,23.3325143851244,22.7940463445186
"Mock_7d_1",0,21.3542388879435,19.7271759475404,18.5016942248911,19.4971094497296,20.7245796327481,18.821985785196,23.7075450259436,21.3203714315192,24.2964034642013,24.451463556345,22.7881926937411,18.6287855941741,21.1844807051826,18.0660850834035,22.4252971038423,25.3182213071973,21.6277040846405,21.7334139462417,16.5833908701094,21.1328158305176,19.2875586623479,18.9321300291018,18.6881319368529,18.7483256428813,19.792151331315,23.6664551492884,25.9745169961979,22.4531634816506,26.1829892468982,22.0240710124536,23.0343491314282,22.1652727539043,22.1199857945801,27.5313678952047,23.1019516338653,24.0525571060588,21.3497469108834,17.2698173967947,23.0891834218816,20.7694368496583,28.281055151635,27.4276697525358,26.1748639816614,27.4802728692665,27.4691750123467,24.9207283811497,27.3360071538779,24.2406860988203,22.8958409486345,26.0807508546032,21.3389878107204,22.0871769575279,21.1406375809936,22.572099268261,20.3457005835359,19.1993674142822,25.4055320736636,26.7607810518553,23.8355046762401,26.9905425276967,23.4294997104188,24.5648781743121,20.3596830818681,17.1266800566381,24.8387812346931,24.4513488486191,22.4038161315621,22.7260389191285,21.9668835860933,19.3724406596869,18.8465991190158,17.9015023964259,18.9357653005149,18.8577491676107,17.9567801704071,19.0365737466018,19.446723391662,21.5607142782036,17.3149323801498,18.1915853401844,16.5290607705909,14.4904421794728,16.741268128606,19.3763972810364,19.0620650830376,21.2112688059227,19.3843436049537,19.6191853945254,20.9613729422093,18.2760496985147,19.50544354076,20.0452857353871,26.1191040288359,19.3324077120224,22.2242051584627,24.9864206053104,25.0339167986803,25.611809197911,26.6642486992673,15.2317545408135,23.5152616614526,21.3030907716833,24.866172441424,20.6370434852712,19.7068045731937,24.9079902233287,19.6807358416398,25.4662231190928,25.3477342206744,26.4695359981826,22.4699302962058,19.559315351423,18.0718276304793,25.4357085342055,17.8254053545175,22.4176179396417,21.918308692756,17.1934417395549,16.2664793157011,26.3243695573902,26.3148581353559,21.9205046947938,17.7367666997193,25.6116034578442,22.4939293354846,21.4980690962888,18.5026925840905,15.913488607682,16.6311740576073,16.8241986252748,16.9297954768088,19.5655625650926,24.2039131180082,26.1762623430636,22.1023017344883,20.6397782127526,22.2948979276245,26.7907819949272,22.5611687074315,21.8571339751219,21.4491665334286,23.4325146298048,22.9540353700317
"Mock_4d_2",0,21.0062801881083,19.2135139478637,18.49554338544,19.1536406252691,20.7155407090889,19.010634126669,23.6686423254964,21.32326907374,23.6635840536424,24.6127567090693,22.9345636490327,18.6433210456294,21.0940796191773,18.1684125961313,22.6625158327406,25.4041192461182,21.7329077062482,21.7389007172303,16.7775821106745,20.8401734142943,19.3866120563666,19.0430775283884,18.7280371644081,18.6586740248989,19.9317137332092,23.639739910224,25.9910959528235,22.5466966754792,26.0389877911749,22.0909696117613,23.0508616582048,22.3722587735274,21.9652098748518,27.5149396213153,23.0428339667081,23.9263801560046,21.3772670699349,17.5546360400179,23.2265875573471,20.8519436262903,28.2876351707567,27.5279435750029,26.1583485037272,27.5233149977446,27.4519816398922,24.8624242503279,27.2718899892926,24.2910075105379,22.9227838172132,26.0956584278299,21.4251455855721,22.1379284459319,21.2625627236426,22.5026598102158,20.5043344516245,19.4452306089876,25.4530485321117,26.8232185300318,23.8329945758272,27.0708401140715,23.4891600112694,24.5555882588804,20.8134027002467,17.2849692162295,24.8771639129156,24.6107317759727,22.3802578568244,23.0050844680967,22.0707431756516,19.7176478728468,18.7473383595607,17.8444724641294,18.8798430916318,18.8952779443858,18.0088695142042,19.162544994425,19.222347557736,21.641968484504,17.0990186698699,18.1636598096119,16.6595237570329,14.9732337654851,16.75605681594,19.3573358775479,19.0184117673005,21.3208181735668,19.427483189076,19.548131292314,21.0258027808964,18.6222260195072,19.4692525337825,20.0623327620135,26.2511886710333,19.5138604554904,22.3835700944523,25.0506250530346,25.1689805458325,25.6460329203605,26.6744263442773,14.873438010602,23.7253173664528,21.3401330288389,24.8378431950317,21.0567756201985,20.1786133389829,25.0890493886595,19.7667689929878,25.8205683394653,25.5404345726552,26.4432698701393,22.0629005711784,19.1170810560257,17.3197510790088,25.3880584209552,17.6257586657958,22.4560020262607,21.8358260571931,16.7275812778885,15.1426666052846,26.3166910162518,26.3024001861246,22.0976676044314,17.4665873333951,25.4568579648871,22.2883959479563,20.9873833803768,18.0687362995162,15.4639847806665,15.6913172353593,16.6708777433031,16.7659289441179,19.9697520465024,24.4006940657467,26.2641829932484,21.979811905648,20.6805179174424,22.3854955234862,26.7249180589911,22.4679523808784,22.0280382418724,21.5107214373173,23.1093513316984,22.6596544071448
"Mock_4d_3",0,21.2210430534081,19.9037236503651,18.6699349892819,19.726865172555,20.8737359415899,19.1511238738549,23.861346976539,21.749435325023,24.5938413020142,24.771334206071,22.9940335541343,19.0366666369577,21.3254126546089,18.4587476535131,22.5726270284528,25.5385168364394,21.8051278467574,21.8510234525408,17.1294878877867,21.1343595722713,19.5918963183418,19.1504704473575,18.9024070421638,18.7378099194527,20.0013104284233,23.8087041091108,26.0316540934298,22.5463882896203,26.0895728398072,22.143746444279,23.2508163897472,21.7687262870379,22.6822297369036,27.655123089934,23.49414633155,24.4900988773318,21.8824079678208,17.4998069671694,23.116249715385,20.7530486898217,28.3820135138545,27.5938313881871,26.2070085094221,27.6698078614711,27.6717006476629,25.2464260298727,27.4935156459307,24.4090236477526,23.1505003521869,26.2203183928751,21.2446710153226,22.4620393941331,21.4058962279061,22.7217749890549,20.3434896396649,19.5784301650407,25.8118041739051,26.7860548090256,24.2690727318939,27.1450867866827,23.5555448462249,24.5714891483493,20.2543698075155,17.4371011937618,25.1820484569035,24.7582927623577,22.4759134874977,22.9195395021505,22.2706453654821,19.6639748671898,19.2670941290269,18.0591118841401,19.336230041606,19.1947878086194,18.0132507620842,19.3566096682504,19.3661308818042,21.8812663449402,17.5364737100615,18.5135949651172,16.8248121363577,14.8658619029786,17.4456853996477,19.2271667115973,19.0391099859431,21.0661885776051,19.6979313546963,19.8760091351447,21.1654876053987,18.4126996948029,19.6835016149206,20.3685569491106,26.2790814449174,19.5574444193265,22.3295033387635,25.1512006916671,25.3586309474031,25.9621358665164,26.7649056990392,15.5958193993001,23.8380673719444,21.2741324169497,25.0232150946828,21.1509153920018,19.97547637478,25.4683382860177,20.1564097924609,25.8594386713523,25.6610250843914,26.54028367899,22.4513019315374,19.1801117543683,17.997719256039,25.8411366291811,17.6197059486134,22.7136149471735,22.0180600650246,17.3083526411186,16.4865573911228,26.4321158342139,26.4383327256182,22.1241995809213,17.073466106559,25.7726383629212,22.5712495655314,21.3635736121194,18.4491752254306,15.6681541797148,15.8179561970191,17.0616040242851,17.0827026759992,20.5200969690611,24.9162912466176,26.5276718357315,22.7172877569219,20.8187150829035,22.564093654749,26.8626139012252,23.2146364697432,22.0953055842339,21.5013134959205,23.3833296141195,22.8468409685951
"Mock_4d_1",0,21.0499764729115,19.8675035738538,18.5767027669247,19.4990034012402,20.8112861946678,19.1295976224426,23.8003441177059,21.3725394983557,24.4337519913245,24.9115654359394,23.0894600180315,18.7213235866069,21.1840932257115,18.5884391225525,22.7124866981307,25.4605532598607,21.9788910960557,21.8399488918584,16.7764855432637,21.3427447623993,18.9679839847816,19.0006827815117,18.7956678276848,18.6246510137002,19.8822073719337,23.5236226123151,25.7628711508858,22.3550450892458,26.0081343340832,21.8225438939041,22.8923130490727,22.2854716452649,22.4638797927793,27.3822985487032,23.2608019785215,24.1575284316044,21.5932152298097,17.444851359817,23.0850731775116,20.7424345480876,28.3365222230485,27.4770938098418,26.3442495766333,27.501278382158,27.6312880919319,25.0334130869005,27.4289559872632,24.4420972353845,23.0049850656633,26.1670282003922,21.3485663506327,21.9033568203869,21.0155887699945,22.9059577353493,20.3964968639011,19.6436541992099,25.5642402176367,27.0184486138082,24.1457594448659,27.1263392893086,23.6724611678734,24.5639581289888,20.0094252668436,16.9481764923054,24.9599955666239,24.4064860795607,22.616485689491,23.1170980236467,22.3263717426577,19.6264957742769,19.125573017218,17.7197949871915,18.8709508819964,18.9246138223618,18.1503148702654,19.1750844167301,19.4784948761605,21.7070240413409,17.6799425295198,18.5103464642668,16.5914866218877,14.5146182315806,17.1557460968472,19.2534310200938,18.9241425131429,21.3986586347102,19.5690615034217,19.9392670421896,21.1839377505916,18.1403506526681,19.0217800947629,19.9767755276066,26.2376105668564,19.3195285247052,22.3468509002263,25.2577089491473,25.4584017317079,25.8883858754871,26.6894922587988,15.2106506859815,23.4736108798057,21.2223440196928,25.0894275276031,21.2575553103523,20.7643955084953,25.1975693205066,20.0916587755947,25.9572614001208,25.7907697672916,26.4279872002125,22.4597757930386,19.5674442440249,18.1767161422575,25.6594663761195,17.8316230864199,22.5457741475688,22.121444827144,17.416724736975,16.1975628716937,26.4592037079889,26.4389845712952,22.2153349547119,17.7789299489796,25.951404696193,22.5501161729412,21.683301993977,18.4172839066525,16.140102060138,16.2275320719656,13.6589921068117,16.7602209591492,20.3124862373619,24.4761301191433,26.323825535044,22.4753381181673,21.0771173988553,22.3846467543267,26.9518133935137,22.8489251804015,22.0464197987487,21.8370904562622,23.3457823251161,23.0027805140667
"5x10e4_7d_4",1,23.5226178063943,22.2798305958071,20.1549724289775,19.5719679632733,20.0711762368898,17.3064351450212,23.3663100732619,20.2916445590112,23.668545488602,23.2914238092262,21.7470939948216,17.7205505135256,20.5412516785782,17.3281885565172,22.223549400529,24.6547285599083,21.5206874925807,20.8250072816729,16.5880331338791,20.2441422647534,19.0933438944273,21.1970770282338,20.0021799521124,19.466481538989,22.047755806376,24.452962722278,26.4928812625596,23.3433647971886,26.3678430314885,22.4761921845444,24.7142337769361,24.9353416886878,21.0578897866865,27.3009581351076,22.3722820254105,23.7487794231443,21.1241399326836,18.9691424936072,23.0688155000595,20.7503542115715,28.323647721647,27.1445798311974,25.8924347933865,27.4398600452086,27.1663201785229,24.4084968997383,27.2034456893191,24.4120044518951,22.6497633647835,26.1129165323291,23.8546875070917,22.493946798953,21.7698097020288,21.8967477646858,21.4253761226958,19.3619683968406,24.8610692948645,26.4726643171199,23.11544059788,26.8917875034868,23.5413240042013,24.4113236162784,16.3002792373919,14.1889281990379,25.0706501610443,24.9086273542368,23.3071668932747,24.8268960110038,22.5404988986986,19.3742387563636,18.6122516422384,18.7859000080906,20.1415761353233,19.2790722322054,18.5113430790278,20.9255080800335,21.2240228779501,22.2953950895631,17.9040200801325,18.2247676092622,17.5352820222747,15.52938563223,18.934676211425,20.7051048038448,21.7321713599255,24.1012170277141,19.8008880538918,19.3403438695034,21.6785545796617,19.73912524848,22.2630248607651,20.5761651909873,26.4805669958423,20.0495697366868,22.4735131548978,24.5575114971471,24.8544468743044,25.2335080677011,26.6184819563573,15.4937202459365,24.4963705816219,20.8628464614851,24.5210647015849,19.6984703639134,20.6788163119157,22.3081212370072,19.6658101656849,24.1854524272553,25.2827967381494,26.3196368433482,23.8155960392726,22.4087816732845,20.4999699373017,23.2872079116494,18.8049415112302,21.2959591825748,20.4678761573791,17.4679888125479,19.0354783966806,26.085618008204,25.9116841037502,21.7162994081581,17.6340841631554,24.320542763257,22.3176348047085,23.0158294899856,21.2529552634591,18.9118241521215,17.9449387259687,16.1377769815163,17.2451280353105,17.9218067131848,21.4124115585643,24.2271504026444,19.8358102548259,20.2072765247859,21.2201840471638,26.0998031849594,20.8510553929924,20.8301805490484,20.9440177283808,23.7580408904752,23.375143528897
