"Protein","tstat_source","tstat_target","pval_source","pval_target","flag_source","flag_target","source_target_agreement"
"ENOA_HUMAN",-1.22724496718335,1.36367032703268,0.220541842894655,0.175423055307948,0,0,1
"G6PI_HUMAN",-1.21067546781321,0.922954056753462,0.226825967452861,0.358193719328415,0,0,1
"STIP1_HUMAN",-0.620990883907158,1.20971721315398,0.535003011015782,0.228934482728552,0,0,1
"IF4H_HUMAN",-3.2694415187318,0.757698491606478,0.00118859206951129,0.450463563620938,-1,0,0
"CO3_HUMAN",-0.651905518895032,-6.5848370072661,0.514935726535638,4.07287375328053e-09,0,-1,0
"QCR1_HUMAN",2.06353350475154,-0.78231031239263,0.0397883011070454,0.436002712727304,1,0,0
"SNX3_HUMAN",-0.35721466441926,-0.018435721352046,0.721143613207609,0.985327706376807,0,0,1
"PPP5_HUMAN",-1.52174977230663,3.51695921819324,0.128960073636898,0.000653494174019995,0,1,0
"OTUB1_HUMAN",-0.283418943786563,0.884157903730018,0.777020558731641,0.378754060775962,0,0,1
"EFTU_HUMAN",0.654805756562773,2.10882657162934,0.513016674203092,0.0375293997206103,0,1,0
"MDHM_HUMAN",-0.0995289266982855,0.927345622684948,0.92077434780059,0.355963115856778,0,0,1
"HNRPM_HUMAN",0.809191418871706,0.30710670663045,0.418946540654217,0.759376524749323,0,0,1
"PLEC_HUMAN",1.02566739343843,-1.67005789450606,0.305747596083529,0.0977453756076222,0,0,1
"NAMPT_HUMAN",-1.56492492808703,-0.501862358639852,0.11849286659265,0.616745830054812,0,0,1
"GRP75_HUMAN",3.3433246175899,-0.0657730688675893,0.000915826528141398,0.947688528630141,1,0,0
"SYIC_HUMAN",0.811047068962247,-0.664183588048503,0.417882454092622,0.507882012398594,0,0,1
"ITB1_HUMAN",1.34168670986804,-1.64220954310513,0.180590154279071,0.103661277553898,0,0,1
"ATPO_HUMAN",3.25739707437568,0.575288018251247,0.0012335031470457,0.566291693509291,1,0,0
"SAHH_HUMAN",-0.7541950051933,-0.238634828902819,0.451231798723996,0.811895341701033,0,0,1
"WDR1_HUMAN",-1.0312670471407,1.07888792064235,0.303115744725093,0.283144415790191,0,0,1
"1433Z_HUMAN",-1.23001121314518,-0.579552175775779,0.219506491476658,0.563564292076735,0,0,1
"LASP1_HUMAN",-1.00532571785019,1.99205913514742,0.3154277958427,0.0487486947174443,0,1,0
"CLH1_HUMAN",3.42872364095479,-0.667410741684424,0.00067904166803108,0.505930754717773,1,0,0
"RL5_HUMAN",1.12714902273913,0.0742880723994364,0.260441427889218,0.940930609047603,0,0,1
"PGM2_HUMAN",-1.45322033324706,1.26436168910633,0.14705152833083,0.209069848600432,0,0,1
"ATPD_HUMAN",2.73079958269664,0.993225424915559,0.00663309801486474,0.322927731935389,1,0,0
"TPIS_HUMAN",-2.64949276219462,2.95930827214358,0.00842065816090636,0.00389079014059741,-1,1,0
"AHSA1_HUMAN",-0.906393725362677,0.597730407064947,0.365343398348756,0.551339247617339,0,0,1
"IF16_HUMAN",0.535329024540203,-0.334068220417353,0.592756659525981,0.73905081653322,0,0,1
"SPTN1_HUMAN",-0.49767026823933,1.21956494279454,0.619023791125546,0.225207920300741,0,0,1
"RBM3_HUMAN",-2.57862448872109,2.84642658953497,0.0103264815171305,0.00528564837055862,-1,1,0
"GELS_HUMAN",1.14809891391068,-3.66170987197545,0.251704114611006,0.000416309704444762,0,-1,0
"CATD_HUMAN",-3.00316812618624,2.59483422662998,0.00286285188650172,0.0106744029601247,-1,1,0
"SYSC_HUMAN",-0.577490003020536,0.592646169428178,0.563975052045419,0.554596313848445,0,0,1
"G3BP2_HUMAN",0.351558374950155,2.10545216438085,0.725378287670257,0.0375296173862731,0,1,0
"NP1L1_HUMAN",-0.0486894927107337,1.85490433327118,0.961194070916873,0.0664048567982242,0,0,1
"1433G_HUMAN",-2.82703971352279,-0.299307939745504,0.00497396301349939,0.765329759175486,-1,0,0
"1433F_HUMAN",-1.16303395427294,0.694739916531614,0.245594775113363,0.488712483047347,0,0,1
"AP3D1_HUMAN",1.64243148892463,-0.414494375487343,0.101410125186522,0.679351540686188,0,0,1
"ROA3_HUMAN",0.60949686526352,0.706056727846315,0.542585596394212,0.48183608737466,0,0,1
"PDIA6_HUMAN",2.90954080285865,-0.99202916982175,0.00385205678949387,0.323506487674805,1,0,0
