"","response","Cer(d18:0/16:0)_NEG","Cer(d18:0/24:0)_NEG","Cer(d18:0/24:1)_NEG","Cer(d18:1/14:0)_NEG","Cer(d18:1/16:0)_NEG","Cer(d18:1/22:0)_NEG","Cer(d18:1/24:0)_NEG","Cer(d18:1/24:1)_NEG","Cer(d18:2/16:0)_NEG","CL(14:0/16:1/18:1/16:1)_NEG","CL(16:0/16:1/18:1/16:1)_NEG","CL(16:0/18:1/16:0/18:1)_NEG","CL(16:0/18:1/18:1/16:1)_NEG","CL(16:1/16:1/16:1/18:1)_NEG","CL(16:1/16:1/16:1/20:3)_CoE_NEG","CL(16:1/16:1/18:1/18:2)_NEG","CL(16:1/18:1/16:1/20:3)_CoE_NEG","CL(16:1/18:1/18:1/16:1)_NEG","CL(16:1/18:1/18:1/18:2)_NEG","CL(16:1/18:1/18:1/18:3)_CoE_NEG","CL(16:2/16:0/18:2/18:2)_CoE_NEG","CL(17:1/16:0/18:1/18:2)_NEG","CL(17:1/16:1/18:1/16:1)_NEG","CL(18:1/18:1/17:1/18:1)_NEG","CL(18:1/18:1/18:1/16:1)_NEG","CL(18:1/18:1/18:1/18:1)_NEG","CL(18:1/18:1/18:1/18:2)_NEG","CL(18:1/18:1/18:2/18:2)_CoE_NEG","CL(18:1/18:1/19:1/18:1)_NEG","CL(18:2/18:2/18:1/16:1)_CoE_NEG","CL(18:2/18:2/18:2/18:1)_CoE_NEG","CL(20:2/16:0/18:2/20:2)_NEG","CL(20:2/16:1/16:1/18:2)_CoE_NEG","CL(20:2/16:1/18:1/18:2)_CoE_NEG","CL(20:3/16:0/18:1/18:2)_CoE_NEG","CL(20:3/16:1/18:1/18:2)_CoE_NEG","PE(12:0/18:1)_CoE_NEG","PE(14:0/16:0)_NEG","PE(14:0/16:1)_CoE_NEG","PE(14:0/18:0)_CoE_NEG","PE(14:0/18:1)_CoE_NEG","PE(16:0/0:0)_NEG","PE(16:0/16:0)_NEG","PE(16:0/16:0)_CoE_NEG","PE(16:0/16:1)_CoE_NEG","PE(16:0/18:0)_NEG","PE(16:0/18:1)_CoE_NEG","PE(16:0/18:2)_CoE_NEG","PE(16:0/20:4)_NEG","PE(16:1/0:0)_NEG","PE(16:1/16:1)_NEG","PE(16:1/18:0)_CoE_NEG","PE(16:1/18:1)_CoE_NEG","PE(16:1/18:2)_NEG","PE(16:1/20:4)_NEG","PE(17:0/18:1)_NEG","PE(17:1/18:1)_NEG","PE(18:0/0:0)_NEG","PE(18:0/18:0)_NEG","PE(18:0/18:1)_NEG","PE(18:0/18:2)_CoE_NEG","PE(18:0/20:1)_NEG","PE(18:0/20:2)_CoE_NEG","PE(18:0/20:3)_NEG","PE(18:0/20:4)_NEG","PE(18:0/20:5)_CoE_NEG","PE(18:0/22:1)_CoE_NEG","PE(18:0/22:6)_NEG","PE(18:1/0:0)_NEG","PE(18:1/18:1)_CoE_NEG","PE(18:1/18:2)_NEG","PE(18:1/20:1)_CoE_NEG","PE(18:1/20:3)_NEG","PE(18:1/20:4)_CoE_NEG","PE(18:1/20:5)_NEG","PE(18:1/22:0)_CoE_NEG","PE(18:1/22:1)_CoE_NEG","PE(18:2/0:0)_NEG","PE(18:2/18:2)_NEG","PE(20:0/20:4)_NEG","PE(20:1/20:1)_CoE_NEG","PE(20:1/20:4)_NEG","PE(20:4/22:0)_NEG","PE(20:4/22:1)_NEG","PE(20:5/0:0)_NEG","PE(22:0/0:0)_NEG","PE(22:1/0:0)_NEG","PE(22:4/0:0)_NEG","PE(24:0/18:1)_NEG","PE(O-16:0/20:1)_CoE_NEG","PE(O-18:0/12:0)_NEG","PE(O-18:0/14:0)_NEG","PE(O-18:0/16:0)_A_NEG","PE(O-18:0/16:0)_B_NEG","PE(O-18:0/16:0)_C_NEG","PE(O-18:0/16:1)_NEG","PE(O-18:0/18:1)_A_CoE_NEG","PE(O-18:0/18:1)_B_CoE_NEG","PE(O-18:0/18:2)_NEG","PE(O-18:0/20:1)_NEG","PE(O-18:0/20:4)_NEG","PE(O-18:0/22:1)_CoE_NEG","PE(O-20:0/16:0)_NEG","PE(O-20:0/20:1)_CoE_NEG","PE(P-16:0/16:0)_NEG","PE(P-16:0/16:1)_NEG","PE(P-16:0/17:1)_NEG","PE(P-16:0/18:1)_NEG","PE(P-16:0/18:2)_NEG","PE(P-16:0/20:0)_CoE_NEG","PE(P-16:0/20:1)_CoE_NEG","PE(P-16:0/20:3)_NEG","PE(P-16:0/20:4)_NEG","PE(P-16:0/20:5)_NEG","PE(P-16:0/22:1)_CoE_NEG","PE(P-16:0/22:2)_CoE_NEG","PE(P-16:0/22:6)_NEG","PE(P-18:0/14:0)_NEG","PE(P-18:0/16:0)_A_NEG","PE(P-18:0/16:0)_B_NEG","PE(P-18:0/18:0)_CoE_NEG","PE(P-18:0/18:1)_A_NEG","PE(P-18:0/18:1)_B_CoE_NEG","PE(P-18:0/18:2)_NEG","PE(P-18:0/20:1)_CoE_NEG","PE(P-18:0/20:2)_CoE_NEG","PE(P-18:0/20:3)_NEG","PE(P-18:0/20:4)_NEG","PE(P-18:0/22:1)_NEG","PE(P-18:0/22:2)_NEG","PE(P-18:0/22:4)_CoE_NEG","PE(P-18:0/22:6)_NEG","PE(P-18:1/20:4)_NEG","PE(P-18:1/22:6)_NEG","PE(P-20:0/16:0)_A_NEG","PE(P-20:0/16:0)_B_CoE_NEG","PE(P-20:0/18:1)_NEG","PE(P-20:0/20:4)_CoE_NEG","PG(14:0/16:0)_A_NEG","PG(14:0/16:0)_B_NEG","PG(14:0/16:1)_NEG","PG(14:0/18:1)_A_NEG","PG(14:0/18:1)_B_NEG","PG(16:0/16:0)_A_NEG","PG(16:0/16:0)_B_NEG","PG(16:0/16:0)_C_NEG","PG(16:0/17:1)_NEG","PG(16:0/18:0)_NEG","PG(16:0/18:1)_A_NEG","PG(16:0/18:1)_B_CoE_NEG","PG(16:0/20:4)_NEG","PG(16:0/22:6)_NEG","PG(16:1/16:1)_NEG","PG(16:1/18:0)_CoE_NEG","PG(16:1/18:1)_A_NEG","PG(16:1/18:1)_B_NEG","PG(16:1/18:2)_NEG","PG(16:1/22:6)_NEG","PG(18:0/0:0)_NEG","PG(18:0/18:1)_NEG","PG(18:0/20:4)_NEG","PG(18:1/18:1)_NEG","PG(18:1/18:2)_NEG","PG(18:1/18:3)_A_NEG","PG(18:1/18:3)_B_CoE_NEG","PG(18:1/20:2)_NEG","PG(18:1/20:3)_NEG","PG(18:1/20:4)_A_NEG","PG(18:1/20:4)_B_NEG","PG(18:1/22:4)_CoE_NEG","PG(18:1/22:6)_NEG","PG(18:2/18:2)_A_CoE_NEG","PG(18:2/18:2)_B_NEG","PG(18:2/22:6)_NEG","PG(20:1/20:4)_CoE_NEG","PI(10:0/18:0)_NEG","PI(14:0/16:0)_NEG","PI(14:0/18:1)_CoE_NEG","PI(14:0/20:4)_NEG","PI(14:1/18:1)_CoE_NEG","PI(16:0/16:0)_NEG","PI(16:0/16:1)_CoE_NEG","PI(16:0/17:1)_NEG","PI(16:0/18:0)_NEG","PI(16:0/18:1)_NEG","PI(16:0/18:2)_A_CoE_NEG","PI(16:0/18:2)_B_NEG","PI(16:0/18:3)_CoE_NEG","PI(16:0/19:1)_CoE_NEG","PI(16:0/20:1)_CoE_NEG","PI(16:0/20:2)_CoE_NEG","PI(16:0/20:3)_CoE_NEG","PI(16:0/20:4)_NEG","PI(16:0/20:5)_NEG","PI(16:0/22:6)_CoE_NEG","PI(16:1/16:1)_CoE_NEG","PI(16:1/18:1)_CoE_NEG","PI(16:1/18:2)_CoE_NEG","PI(17:0/18:1)_CoE_NEG","PI(17:0/20:4)_NEG","PI(17:1/18:1)_NEG","PI(17:1/20:4)_NEG","PI(18:0/0:0)_NEG","PI(18:0/18:1)_CoE_NEG","PI(18:0/18:2)_A_NEG","PI(18:0/18:2)_B_CoE_NEG","PI(18:0/20:1)_NEG","PI(18:0/20:2)_NEG","PI(18:0/20:3)_CoE_NEG","PI(18:0/20:4)_CoE_NEG","PI(18:0/22:1)_NEG","PI(18:0/22:2)_NEG","PI(18:0/22:4)_NEG","PI(18:0/22:6)_NEG","PI(18:1/0:0)_NEG","PI(18:1/18:2)_CoE_NEG","PI(18:1/19:1)_NEG","PI(18:1/20:1)_NEG","PI(18:1/20:2)_CoE_NEG","PI(18:1/20:3)_CoE_NEG","PI(18:1/20:4)_A_NEG","PI(18:1/20:4)_B_NEG","PI(18:1/20:5)_NEG","PI(18:1/20:5)_CoE_NEG","PI(18:1/22:2)_NEG","PI(18:1/22:4)_NEG","PI(18:1/22:6)_NEG","PI(18:2/20:4)_CoE_NEG","PI(19:1/20:4)_NEG","PI(20:1/20:4)_NEG","PI(20:4/0:0)_NEG","PS(16:0/16:1)_NEG","PS(16:0/18:1)_CoE_NEG","PS(16:0/18:2)_CoE_NEG","PS(16:1/18:0)_CoE_NEG","PS(16:1/18:1)_CoE_NEG","PS(17:0/20:4)_NEG","PS(18:0/0:0)_NEG","PS(18:0/18:1)_NEG","PS(18:0/18:2)_CoE_NEG","PS(18:0/20:3)_NEG","PS(18:0/20:4)_NEG","PS(18:0/22:6)_NEG","PS(18:1/18:1)_CoE_NEG","PS(18:1/18:2)_NEG","PS(18:1/20:0)_NEG","PS(18:1/20:1)_NEG","PS(18:1/20:4)_NEG","PS(18:1/22:0)_NEG","PS(18:1/22:1)_NEG"
"Mock_0hr_2",0,17.5585037444724,13.5137215727867,15.3135242583927,15.6883960997623,19.8358510130181,14.2995853482914,16.8301999927476,18.374642200558,17.2553124516459,14.3727777994478,15.8263341522593,15.357656700673,17.3850786422391,16.3255032394985,13.6308774368247,16.7114457952571,17.5334919297926,19.0825099896852,19.9292023232106,17.5334919297926,13.6308774368247,13.4104825357994,14.37323715482,16.4290820696659,19.886023890027,19.8050065788267,19.9424640338404,19.1830502982442,13.4735591074851,17.5334919297926,16.3359751348238,16.1551247245017,17.5334919297926,19.1830502982442,19.1830502982442,16.3359751348238,13.1698840307322,14.1477977385466,13.1698840307322,14.6464454371597,16.8734986535375,13.4374850255086,15.6884798744709,14.6464454371597,16.8734986535375,17.5868925740809,20.4954714117017,18.3858164640431,17.1919687053722,10.9613556303645,13.8584179786736,20.4954714117017,18.3858164640431,14.8801005509293,14.7984960274013,16.7713453901102,14.5092677226242,16.882401717562,13.8848293377471,22.0804569688079,20.9517584448668,17.4285651514772,19.135910898667,17.7586715553885,20.8737077843939,19.0523055198556,17.1955998935847,17.3932266457762,15.8124967760898,20.9517584448668,18.7268819027027,19.135910898667,15.3885174043707,19.0523055198556,14.4260863294214,17.1955998935847,18.2740475089704,10.8148503713678,12.8836597089192,16.1893537491558,18.2740475089704,16.6181227695465,17.1464655073448,16.3273776196804,10.5915254283062,13.5693969541696,10.3383124319768,12.721353315901,18.554078346319,18.5142704001934,12.791090236202,16.9083253634955,17.8415377631515,15.6224039969367,18.1014514116519,16.4862583448118,18.5142704001934,15.1613049066324,15.9874081029275,17.9526239540687,17.848799231207,15.5160349380252,17.2708043169177,15.5160349380252,15.6990737942024,18.3384577073298,16.5365926349778,22.1666174643871,18.3905998501243,15.1613049066324,21.8669243073261,16.9375701232102,21.6077812435187,18.1875846528751,20.0054126188813,19.6896346183549,20.1013032827718,14.4133394616593,15.5876205077743,17.6440967806726,15.1613049066324,16.3171252329532,21.8669243073261,21.2887224759411,20.0054126188813,19.6896346183549,20.4155760913899,21.9307080156326,18.1857991718971,18.4426367885304,19.7472798592343,19.9053230052496,20.830405145971,17.7523177559622,18.9340994502283,15.1613049066324,16.981183220034,19.7472798592343,13.0504661321364,12.2783014158263,11.3027052947998,15.7952077485193,15.1281757709321,15.1160364496182,13.6556442683126,16.922846321507,11.1937601052156,16.0326928331506,18.5253204311495,19.6550819161781,13.6816036707252,14.151179629076,12.3895567710246,19.6550819161781,17.0448930120861,16.2985585007414,13.1226714615057,12.5094241906136,13.5600239664819,19.3998174342449,13.656892778353,19.1367414706477,16.2314324390122,12.1669071826169,12.4568095977791,15.4423815288548,14.634001934724,14.4961586752425,13.3216456033226,15.2877843714818,16.7934115095285,12.4568095977791,13.6816036707252,11.8852809839841,15.2877843714818,11.3670040800606,11.022472967099,16.8840927121424,11.9802156867225,13.0152486314002,15.195298006289,16.8840927121424,14.0902022494509,14.099760975853,19.4632032980674,17.5610039962895,15.7288346711275,12.4575301766881,14.5953788295434,20.2416985239905,18.917797995751,17.8419870461829,19.2713429088848,13.3099581139275,15.478258846492,13.0152486314002,17.5610039962895,12.4575301766881,14.8233961056011,15.4432114318787,15.383298628309,12.0207144780349,15.1465862324276,20.2416985239905,20.0195776642447,18.917797995751,17.3291551109176,20.2061136718082,19.8271113289783,20.8329971825309,15.7739983689153,17.9055609013922,18.9487987976705,16.3275375685059,13.5507948034863,17.8419870461829,16.2571606367988,16.7180798302718,19.7372408433384,20.8329971825309,19.6488673886586,16.8230965376525,12.9327896543769,15.478258846492,16.794791737529,17.3592416464222,14.1336870633063,15.478258846492,13.6196731534018,17.4555396913396,12.9046756859644,12.6057475017859,17.6370011287201,14.0589226922861,17.6370011287201,14.0589226922861,14.2110310991567,13.1626585428081,18.2646527717659,17.2506636056858,14.0696085776594,16.4518535195543,15.3383721487067,17.2506636056858,14.6286299823302,15.2056205584826,14.5723343146859,14.2577890710764,15.0743160920573,15.9044077827025
"Mock_0hr_3",0,15.4849197333638,13.3284788095611,13.9765228699811,13.5052662840671,18.7345130330849,13.2618894644933,15.3305910101659,16.6353126000684,14.6900036216729,12.8219368504566,15.2071254648997,15.3213019420896,16.3713396918367,15.3218645286112,12.4832578229371,15.8005159402713,16.1219606084847,17.9296553697071,19.0997431614308,16.1219606084847,12.4832578229371,12.4412741642585,13.1050921296977,15.9698870971136,18.8778752598316,18.6421635485227,19.3378592366034,18.3659814273791,12.6591851005203,16.1219606084847,15.1610362110973,15.666300405632,16.1219606084847,18.3659814273791,18.3659814273791,15.1610362110973,12.0885957820865,12.9797089151416,12.0885957820865,14.0830013969971,16.2516391531701,13.830414720877,15.1503173495644,14.0830013969971,16.2516391531701,17.1798603554819,19.781160274912,17.2112439975502,16.1749765647617,11.1648362046095,13.0194602515049,19.781160274912,17.2112439975502,13.9157946936238,13.7547232046584,15.7417480975718,13.9317709830122,16.4813489871776,13.6933618880163,21.1956595125915,20.1204714062445,16.5696364966206,18.0129898406418,16.6834043777832,20.0416056826435,18.3890032972717,16.1016205223443,16.5800475879605,16.4232666157363,20.1204714062445,17.9370531762131,18.0129898406418,15.0461126715659,18.3890032972717,13.2815111207757,16.1016205223443,17.3358882025348,12.9942099517572,12.0901192056093,16.2231931960175,17.3358882025348,15.6892399226628,16.127275851569,15.4148854586042,10.8480659463766,12.3670288835692,11.1280671868393,12.5937094540472,17.7979803690269,17.7012619314654,11.8197467067678,16.1735142823239,17.3008412846929,15.4075028612877,16.069996597049,16.4068397451078,17.7012619314654,14.9425681069153,14.8666555257542,17.1651620187578,17.3347570642035,14.4048069965403,16.655093711782,14.4048069965403,14.8937554385806,17.3558300100923,15.6211659678794,21.6609526438992,17.604576077216,14.9425681069153,20.9973908149715,16.618808239674,20.9095628850626,17.0851691576002,19.0638143931299,18.610160652547,19.1733896896677,13.6047229952017,14.8561911708618,17.3570774220251,14.9425681069153,15.331932162899,20.9973908149715,20.4294551422821,19.0638143931299,18.610160652547,19.6313108533031,21.2132496108243,17.2659748046483,17.2596362435364,18.7531107323916,18.8471803887018,19.9584031467252,17.0501040533375,18.4488666902823,14.9425681069153,16.1827322879498,18.7531107323916,11.6228686680211,11.4009665769126,10.1808782815795,13.8689810448281,14.1537098882982,13.5943813319395,12.2482621709771,15.8569264153775,11.6564688357558,15.5447334907583,16.7575545118117,19.0350710767513,12.5277652445457,12.386636656718,11.6416905004322,19.0350710767513,15.4619631074149,14.9983715233006,12.35408886906,11.0030185752182,11.8415721213593,18.8594085274498,12.6898279275182,17.0002134144088,14.7026150074081,10.8454189353031,11.4152693133992,13.2752801073561,12.518568639493,12.5127507087656,12.3650907849881,14.0176161969441,15.2423825781864,11.4152693133992,12.5277652445457,10.4710532371194,14.0176161969441,9.7167806391956,9.81618690480794,15.5426858141865,10.7593000136894,11.5353005350975,13.9216428447927,15.5426858141865,12.7092831589359,13.5871303754465,18.9498734532551,16.322994680936,14.4667696547602,10.9301862565941,13.6040357767705,19.3300535703305,17.040638053045,16.699098264504,17.9842416426093,11.988198481588,14.2475832172683,11.5353005350975,16.322994680936,10.9301862565941,13.6040357767705,14.093977945865,13.7209089816564,10.7432192059194,14.4805757470655,19.3300535703305,18.5237092257008,17.040638053045,16.4487842854932,19.4244229972731,18.9080547465855,20.0644776706503,14.5386747817228,17.1206863905425,18.0594987762365,14.9876900838655,12.6181605296033,16.699098264504,15.4112921914722,15.9240857754063,18.8675387334259,20.0644776706503,17.9440744925591,15.1400477481703,11.6969379267822,14.2475832172683,15.6251077138046,16.2196443237121,12.8523325267303,14.2475832172683,12.4478673093035,16.4980899193555,11.9413970972392,11.5033884283153,16.1481940023642,12.9651202844156,16.1481940023642,12.9651202844156,13.104578119176,12.8856026372461,17.3159940638012,16.1513321708277,13.2013164509572,15.62586822524,14.3336719844671,16.1513321708277,13.1486038103542,13.8574079541774,13.8345406824371,12.8348100176195,14.2366987563322,15.0062986814369
"Mock_0hr_4",0,15.1149677412172,13.2890932677709,13.8661423436909,13.5221516671832,18.0491123537784,12.9485867288584,15.9009908719674,16.4903744804886,14.8248134959187,12.1767051869389,14.4864221160675,14.454350380881,15.5571909210667,14.0701450263789,11.4857319164569,14.6385605339501,14.8610686322273,17.2856031511623,18.0045486422211,14.8610686322273,11.4857319164569,11.5942832527622,12.0577901566705,14.7799812927363,18.398130567813,18.0047987536187,18.3867108497547,17.3974551640524,11.8705686619406,14.8610686322273,14.2092402028084,14.4399991236767,14.8610686322273,17.3974551640524,17.3974551640524,14.2092402028084,11.2767894943362,12.0841462819775,11.2767894943362,12.9340827980413,14.7331928694778,15.4039468998521,13.4947670992313,12.9340827980413,14.7331928694778,16.113637735945,18.357639386152,16.1260969379071,14.9314847100646,13.6246864844128,12.3655748863901,18.357639386152,16.1260969379071,12.9958976322219,12.6912514125686,14.5844703172302,12.6522957545476,17.3801179200097,12.7264552753908,19.8630294380207,18.8429932518923,15.8199261714005,16.9226134365663,15.4821702007822,18.7597539106933,16.881004237623,15.6383395694157,15.4679813522922,19.1831793610722,18.8429932518923,16.5488828051803,16.9226134365663,12.847268815822,16.881004237623,12.4516439007645,15.6383395694157,16.6442401688754,15.2696136829828,11.1260334281242,15.3293505885559,16.6442401688754,14.2780720902485,15.0629708729059,14.0902925575158,12.7556135702747,11.3642414126802,11.3068048893206,13.4211836895374,17.263733546295,16.5519590884453,10.7983527410412,15.0745934298431,15.9646390255462,13.7194156658585,15.1811645437194,14.9561137849816,16.5519590884453,13.7821898941894,13.596083608608,15.9034176892706,15.2672007404406,13.6413716682905,15.4861065880492,13.6413716682905,13.4639754297627,16.0039378391559,14.6614623696031,20.0610354151249,16.1343269807013,13.7821898941894,19.755751386219,15.7182886003236,19.4698730520618,16.1660977871327,18.0735120336083,17.6491312718372,17.8064846241046,12.6159903428703,13.5827526662262,15.9838007237133,13.7821898941894,14.0440285108826,19.755751386219,18.6236449831097,18.0735120336083,17.6491312718372,17.9205856513813,19.9771229364458,16.7940024043577,16.8974338277443,17.6298173903295,17.5206656744893,18.5679208065316,15.8043783224862,16.8169942644916,13.7821898941894,14.6805481775125,17.6298173903295,10.3056537684291,10.7476603247144,9.16033539882005,13.4647654663692,13.1717348048409,12.5594018321999,12.4013200352342,14.9841554865741,10.4971229751403,13.8348941929544,15.069785067365,17.5207947798509,12.2177409078647,11.8696157745833,11.4514542493484,17.5207947798509,14.6492313944582,14.8372118488046,11.9949528641944,10.6897908241408,12.5649156103559,17.4675263233754,11.0365221008507,17.3612137222919,14.2074837223427,10.4958328297942,11.0795967610168,14.8058575030828,12.1056310524221,11.8787310505532,12.213242935029,12.5257878173028,14.1113495027837,11.0795967610168,11.9259057122625,9.88498626591587,12.5257878173028,10.0579206824898,10.4658193389074,15.9214415473884,10.9305874735274,11.7632780266216,13.4432075110517,15.9214415473884,12.729627899872,12.054873550128,17.7579868904153,15.9804874840912,14.628104070637,11.0857556019574,13.6771022631011,18.2019805963436,16.8140676354268,16.5907783372973,17.4980230657612,11.8763308948226,13.8561160202221,11.7632780266216,15.9804874840912,11.0857556019574,13.6771022631011,13.653881791673,13.6421573768511,10.6085072881543,15.8059334486635,18.2019805963436,17.9832183067044,16.8140676354268,15.2612863476499,18.0904387521792,17.7069374379509,18.9236850121426,14.4393614338159,15.8658744541421,16.8611515725272,14.4734593969058,14.4326062519469,16.5907783372973,14.2064468416022,14.6070857706659,17.5687739788179,18.9236850121426,17.404466346049,15.0167093496714,11.7830342901739,13.8561160202221,14.6589889481237,16.5039112434914,12.324624874963,13.8561160202221,12.2490921805105,15.6619657191378,13.9417316400741,11.4027755428547,15.8268121435711,12.8828867661036,15.8268121435711,12.8828867661036,12.9647453886518,14.6881860542184,17.249283475404,15.9191850391387,13.0947036837768,15.9349751655372,14.3291162308346,15.9191850391387,13.8244433273869,13.7375512478574,12.5877937655387,13.3954730780202,14.455097531316,14.685409256994
"Mock_3hr_2",0,18.2723494337532,15.9669318027091,16.6130190710159,16.2606460848155,20.6769855547508,15.519409019079,17.9405789478678,19.013241389489,17.6198608471572,14.7841953015146,16.8786580001915,17.0041976595367,18.0857709971375,16.7195919704132,14.4946086674267,17.5670013068662,17.8800428954364,19.9336100712851,20.6233750563114,17.8800428954364,14.4946086674267,13.9903115757159,14.8798892600413,17.1549185197823,20.7088887525455,20.3232631630213,20.7770649430225,19.9582642736109,14.1360378313038,17.8800428954364,16.982024555617,16.9258109312171,17.8800428954364,19.9582642736109,19.9582642736109,16.982024555617,13.2251821309526,14.5218855425603,13.2251821309526,15.4120729572879,17.2193289614384,14.7301409943877,15.7725855105704,15.4120729572879,17.2193289614384,18.6561128723715,20.971039166065,18.8703178689847,17.9757223943708,12.2264818706875,13.9882867370261,20.971039166065,18.8703178689847,15.0267476574941,15.3673754226638,17.2083163822303,14.9961432980819,17.9176651723124,15.2429276698085,22.4699002464178,19.3896045581787,18.1590920235218,19.4692530307014,18.1117810510771,21.3898825846119,19.5407581839788,17.9447437803371,17.7316056480233,17.2754081410166,21.576371664139,19.6207293810744,19.4692530307014,15.6707958341744,19.5407581839788,14.614633804469,17.9447437803371,18.7249716464386,12.3496711972929,14.0333408254626,16.3224024138514,18.7249716464386,17.5061097239036,17.3787681989755,16.5986442227683,11.5280422138175,14.3122387351846,10.5442100498591,14.0535593668572,19.387372367481,19.0308169736939,12.6672964134623,17.1304429911435,18.0801838469348,15.7795115742466,18.8068647375322,17.4696919916383,19.0308169736939,15.587753485565,16.4274454642243,17.9088733162718,17.9966226103796,15.7402834147363,17.1277705072002,15.7402834147363,15.7854052717435,18.693615844015,17.2476211705367,22.766206172234,19.287827621484,15.587753485565,22.1716019656058,18.602146418852,22.141063733512,18.4620206661504,20.3432369613958,20.2671985969467,20.5811721878936,14.8266934605306,16.1834675899966,17.7544378820351,15.587753485565,16.5134237678616,22.1716019656058,20.8522812764374,20.3432369613958,20.2671985969467,20.5279037358358,22.3818761227797,18.7913892698413,19.2248289783495,20.1045904358908,20.3226380021655,21.3235221122681,18.356428462014,18.9897521335461,15.587753485565,17.3600863282718,20.1045904358908,13.7562837837819,12.3993265643046,12.2156393433206,16.4895711542407,15.4448065051833,15.9124419577492,14.3391603444996,17.2412303763379,12.5742289041864,16.122456457041,18.8481831708503,19.8008076957637,14.268102478622,15.0514082754568,13.204493981995,19.8008076957637,17.6422990854792,16.5040619877535,13.9071808730892,13.5614006471355,14.2057347937158,20.0306999671312,13.7189892274318,20.0772310269341,17.0850994432981,13.8591945637482,13.0765959316783,16.4823286506024,14.6876351795233,14.6349772930496,13.9563645464847,15.4684593574396,17.413701263387,13.0765959316783,13.5916826972335,12.7537337634412,15.4684593574396,11.6802950232295,12.703834099043,17.3826151878456,12.6490802759032,13.3347023799604,15.9131537512922,17.3826151878456,14.176642040751,14.2927280051338,19.9100189366861,18.0787811479087,16.1968282683039,12.791055151158,16.4278132070951,20.6300926709034,20.7498187002122,18.4711712280613,19.7285927565459,13.3651190938836,15.9148142114836,13.3347023799604,18.0787811479087,12.791055151158,16.4278132070951,15.6086909136871,15.3412880632318,12.352077650211,16.7401086933098,20.6300926709034,20.5962886156731,20.7498187002122,17.5294872705358,20.7165272750151,20.2773692798417,21.1292827024624,16.1253972309913,17.9699899131999,19.2788081566953,16.9424511477901,14.5820026261627,18.4711712280613,16.7372898488712,16.9946257773014,20.0250427153002,21.1292827024624,19.4584914740946,16.8731749471108,13.316511078796,15.9148142114836,17.1532160072778,17.135582950581,14.0591614064332,15.9148142114836,13.9250799961371,17.6522764953147,14.2714312533926,13.8482493737064,18.171428340195,14.907430657475,18.171428340195,14.907430657475,14.9610524644697,15.8925825589913,19.4715496993849,19.3617327204262,15.3204953873841,18.207395990855,16.1215014250316,19.3617327204262,15.9057974725275,17.3463915868095,15.3536556783419,14.6185825487151,16.8420622655315,17.7868104220372
